RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
102001,0,United States,country,,414481.35611141275,396533.83902523096,408500.51019513345,405659.1591834371,424046.47195169795,427468.0989495248,420180.0926645456,430428.75435923046,424240.85075261915,430501.39190901676,433198.0023188312,449956.1582602817,412358.3852170552,412889.1254854175,428432.1536592071,425769.0640385321,433872.41716054257,434416.54814603116,438848.7742954924,439630.8223033553,431348.54949792096,437614.85429749923,437568.31322080496,440849.2324667839,427705.70023636107,427505.43846099766,417183.20525716705,405589.9609527215,403882.24830383,413628.03237432864,434566.27406633773,445094.9951415146,453709.74431068066,462012.7196812815,456682.67552217765,476471.7652074576,439583.34825732966,454126.17292127106,465364.4794172906,472971.2591447512,478234.5454559509,484054.719322855,493060.7718585391,484841.93699635,501779.2494138198,511988.34092410246,518233.6588532086,534268.0464269909,514197.04501864786,518289.1781825302,526573.1849559858,534259.031002414,545107.6141117454,543465.8268187463,543121.1515609827,542723.760538707,535981.0929505457,549995.1164078634,545472.7643418006,534592.9348773273,523730.8872269043,519398.2498499827,530212.0503276543,529401.6518346327,534069.9548324798,543304.0663142705,537736.9678659864,543540.1428850843,544163.4047266229,552831.4139089899,539800.945714331,548299.6232299479,541801.0873236897,534058.3589411926
394913,1,"New York, NY",msa,NY,818073.5038314176,839591.6399082568,853623.1363636364,890191.49500998,885523.3345008757,932545.7519747235,921540.3373913043,876046.0293103448,763906.0852878465,872631.7334593573,888468.21021611,935391.4112903225,790574.1396761134,786095.6676217765,845569.807775378,788359.4053497942,894403.9428594771,934579.6729678639,832068.8418079097,890991.3875464684,836545.2714932127,851566.2636363637,855647.2583732058,876385.197979798,869538.3333333334,813722.4851258581,816414.0906976744,882950.7901907357,852461.8078947369,886902.9183640082,905215.9430379746,935012.8637931035,945213.3183856502,896375.6679738562,941911.792822186,988737.8307030129,859661.8674911661,875945.9029462738,933807.4172767204,921779.1073619631,1006713.1629116118,1049107.8365695793,999772.4054545454,950606.5634328359,1064395.278969957,1060837.78,992595.1613588111,998358.8753799392,1048293.5195530726,1080772.800420168,1040044.8962962963,1037037.3752212389,1090080.1952117863,1139251.8771626297,1075146.6769547325,1196075.497797357,965392.5969773299,1144343.5501193318,1126331.4433262711,1065556.9078014183,1006658.1941747572,1107713.3618233618,1135687.9819413093,1205950.7964071857,1159706.4486607143,1275895.3240938166,1150620.3895348837,1245319.0337837837,1131143.7253333332,1178282.4155124654,1236628.0823529412,1188113.0304054054,1074010.3048780488,1190905.9713114754
753899,2,"Los Angeles, CA",msa,CA,1308642.187654321,1176748.4099526065,1380173.4788519638,1316499.9979381443,1452454.477582846,1414918.5152603232,1253651.8524590165,1391955.6114081996,1403887.3910761154,1496366.5089514067,1247894.1790697675,1247254.737244898,1361924.3833865814,1313186.5329341318,1304942.8148854962,1337259.922737307,1392943.0068027212,1328779.6490825687,1471572.4285714286,1580005.0691642652,1554991.5815384616,1669529.782142857,1622669.857605178,1352425.4278728606,1435414.661971831,1536057.353448276,1654678.1769230769,1587193.2571428572,1586596.9360465116,1581958.7224669603,1584002.6153846155,1735658.1714285715,1806915.1890243902,1691422.0122324158,1755801.3553008595,1639812.2284382284,1765256.3653846155,1858823.9256756757,1697091.3857142858,1907498.4545454546,1791086.2867132868,1852355.086261981,1747981.0262172285,1855584.0696517413,1914050.087179487,1803025.6067961166,1894588.0506329115,1768513.1092896175,1781989.9030612244,1873530.9751243782,1944910.0822510822,2131098.1028571427,2296670.011494253,2180829.2387096775,2176524.8602941176,2078982.9925925925,2044309.064516129,2071725.5777777778,1921846.1960784313,1804952.74375,1761385.162601626,1791480.264516129,2178210.2726027397,1646245.11875,1902235.44,2003954.663507109,1869172.814102564,2000229.1464968154,2162872.511627907,2011190.78313253,1793027.0,1795322.675531915,2004974.99270073,1784560.6301369863
394463,3,"Chicago, IL",msa,IL,587849.739884393,562707.8439306358,491089.1972477064,611067.6004140787,616937.0623885918,561187.7352941176,551966.5057208238,588800.8206278026,575027.2311557789,499706.14806866954,480787.48009367683,512293.54631828977,544139.7889908256,496674.2074468085,538626.8240343347,567429.6288209606,574478.7782026769,575184.6988764044,663707.899328859,550481.4932126697,541597.6685393258,608469.9693877551,487425.5,544413.7994858612,485278.2712418301,521994.0416666667,564940.4378109453,512753.9944134078,505118.08266666665,573431.6372093023,513218.95684803004,559217.5326923077,559225.9132692307,554631.9616935484,472648.73192640697,551091.910041841,604964.1187845304,532037.2917771883,571210.4205933682,627300.0283185841,596817.4102079395,570512.7860341556,613230.6412556054,546640.5802469136,537769.5724299066,610304.4376367615,574464.8239845261,616562.0788954635,552219.2303370787,578938.9385749386,563433.8277511962,599300.5487571702,569189.2733944954,629691.6494156928,619673.0420560747,535728.2885662431,572431.2088122605,568668.373549884,586715.1363636364,559620.1166666667,533409.5319148937,496411.98484848486,570251.7213438735,587361.4715789474,621441.0130151844,610789.80078125,610039.42997543,571216.1242718446,589458.5228310502,581100.8660049628,662480.2286821705,623208.3333333334,618875.6606498195,622401.9362244898
394514,4,"Dallas, TX",msa,TX,363463.2048780488,381731.3412596401,387784.40544345375,377474.3766163793,405840.6985898942,408591.59375,400412.72265625,399719.3184323331,386441.04822695034,400384.6064516129,387675.40983606555,387714.5984732824,369923.8099078341,381189.50744878955,380362.4213669542,385294.00074294204,401405.6979919679,404986.1120917917,396442.85398981324,384457.4025974026,405406.6245210728,385371.06318449875,375882.86708860757,400122.1068852459,392764.0273972603,388111.93265682657,385863.7365710081,375540.9973707274,370992.671913836,383523.60394889663,390710.7952710496,379440.2016689847,384915.296812749,398829.52543604653,389853.97398373985,389587.3788161994,391955.88457987073,402903.63204747776,417790.8159943383,421269.42686804454,410034.99035369774,403225.06666666665,439893.5574650913,453520.12952799123,439425.6581352834,434005.2653658537,456947.43663274747,448059.8892713712,460109.288969918,455847.8129432624,474980.17491961416,486205.74281391833,509479.61677512655,535309.9942652329,530516.8948306595,519822.67669172934,492642.0282813633,512729.3966804979,496181.6514822849,486532.4438396833,496361.40845070424,479887.4270177447,490170.792393736,499726.1745867769,508552.6561743341,510466.7054067711,506938.46285714285,518048.9,522210.1345144357,500532.9271198318,507447.015195369,506643.37620192306,490794.0094991364,478648.68731117825
394692,5,"Houston, TX",msa,TX,337403.48531571217,341470.2368421053,339414.6353944563,342077.307483731,352551.7704735376,399610.67019290605,369985.5251851852,357885.8994047619,384240.8817771084,350824.4516129032,349035.9733434882,369368.7525492862,355765.9956395349,353240.49078341015,361412.2935560859,371283.9911111111,359005.2282521947,374116.5162337662,364606.8969746525,376625.3661971831,364796.45037453185,365388.5068618481,383946.7859744991,374590.8361547763,336195.2774813234,359044.0471854305,345816.59049615654,353000.9690189329,348398.52574942354,357687.9418266434,373016.59706744866,347705.2102496715,354424.77043044294,364018.0166358595,356225.12341772154,388774.6032876712,345749.5917431193,361768.2464013548,408254.9305631493,371887.2038251366,371890.4633479212,400793.54750304506,399535.7897648686,411917.25576796307,401370.1690240453,398806.77602739725,389073.4676710609,400670.11974369246,395910.6701434159,407013.8300153139,413114.9590854392,420393.5905631659,419262.37366375123,429604.0503231764,428014.4321669736,426392.91024165705,427907.0055035773,423037.29001772,416538.484865791,427196.9162936437,396637.27023014106,389984.63084363245,422673.1375480564,427344.0075301205,431732.59882935614,420680.08837209304,438834.2614302462,425432.83043981483,414020.026604974,406070.9692017599,405588.05472103006,428540.290593505,403693.57007874013,396100.7177804296
395209,6,"Washington, DC",msa,VA,577403.473421927,555537.6312127237,606133.9286786787,579376.1064049586,599708.9786443826,599653.4647006255,597827.960718294,621825.7817418678,623260.0880597015,634610.7648,642136.8495575221,671144.0935875217,590730.091047041,549234.0637522768,612852.4092261905,652776.7857142857,677788.3701842546,656027.5834767641,684964.5657015591,751794.2351598174,717298.50416,670100.9702040817,729137.1788617886,706974.03,740944.4222222222,700937.1438872403,690443.1626133908,774523.0332152589,712014.2427500001,685950.9329980277,769718.0879487179,741974.1386554622,756615.0179533213,748272.0563139932,714372.891064257,726797.669174484,690917.3788650964,714396.8991769548,709037.6248012233,725953.7700846263,704978.1670314843,707037.6564769231,736672.2266891892,728555.8274237288,738643.0955752212,773518.666372549,755859.1805797102,755504.7299790356,834065.4589255014,741115.3421815718,848852.498265896,749904.4367647059,802766.6149341142,768567.8338068182,813816.75,717830.219269103,754768.6559714795,773929.0823791821,757450.4481237911,787272.1189189189,748559.2956120092,801365.43,782072.6037735849,783779.9410774411,759370.4952380953,818388.0423361345,829748.9380249111,865951.2807017544,797494.550094518,779190.6947162426,775619.1636363637,821437.046,871764.2150259067,834767.9953161592
394974,7,"Philadelphia, PA",msa,PA,575631.8694362018,463726.59375,500189.78125,532824.9735973597,521723.3443526171,488837.06501547986,537626.1828793774,507521.7702265372,462344.27615062764,508917.9557522124,575261.419087137,503250.3481781377,469744.2369477912,501824.1793721973,518341.78386167146,503265.93258426967,471107.68387096777,518578.18050541513,467800.8431372549,483332.4090909091,467425.7277227723,462295.44444444444,475876.57258064515,504646.637254902,461068.95955665025,450833.4487804878,459714.4186324787,451132.306122449,483925.26946107787,489092.7019607843,466867.0635451505,498316.204620462,491488.0064935065,532279.9660056657,508414.6614583333,516202.39197530865,550176.5529411765,509117.5096045198,531542.5940354767,542273.1889400922,537648.4392405064,554096.6331658291,567228.2506887052,575722.7426861703,546556.4601474927,583097.5382513661,580654.7726495726,603637.2748832684,611041.5585831063,557502.2878338279,585874.412470024,573787.5859375,629820.6641066667,613521.5308988764,604313.8545994065,611971.4615384615,604215.505248227,620213.4682274248,604047.0072727273,671603.7068965518,668768.5417948718,641486.2138728324,679424.4674796748,698716.8085185186,664916.1978021978,709448.3757763975,703758.7499245283,698688.9153225806,626213.2707281553,630397.0427350427,613979.9173913044,642014.9797979798,616177.4065934066,694017.1865284974
394856,8,"Miami, FL",msa,FL,822706.5586080586,744726.1765285996,616771.02,597993.2727272727,563748.692893401,574752.1124324325,599455.8908839779,539856.2988980716,568893.6933962264,560946.15,577245.3702623907,537119.3956204379,561524.8857142857,677207.1053921569,665978.3847826087,731732.0474860335,735765.237804878,778056.687919463,839064.6491803279,872678.2551928783,920014.8493150685,884700.6300366301,1026803.1208333333,841959.6275167785,857348.5896226416,916086.8507462686,884948.8427419355,765863.4344104804,798763.3315217391,979054.1088732395,907885.9281337047,893662.3164893617,965431.4135977337,959831.113960114,952749.5286142322,1154459.9902439024,1068502.4885245902,1091094.209439528,1234185.8340163934,1074763.5920502092,1335391.5216962525,1146450.1012658228,1184324.755344418,1086893.865671642,1111604.1506596308,1010587.195819209,1045441.7430939226,1330911.1381818182,1169824.4741438355,1350379.7386759582,1516686.6344086023,1454669.4440433213,1254050.1884984025,1245268.709150327,1297283.4145299145,1094234.2694852941,1119215.865942029,1131536.7132352942,967616.8178438662,1089870.5296167247,1257241.487012987,1232235.0604395603,1223743.374558304,1455164.7448559671,1260842.026923077,1356971.3605442178,1392120.9382239382,1151289.2934362935,1305374.8178294573,1313703.6356275303,1289707.4942084942,1230539.26171875,1495355.9779005526,1235970.3291925467
394347,9,"Atlanta, GA",msa,GA,307091.59684025747,345314.19674556213,326398.51887941535,321726.120383693,339411.8778437191,352469.21852387843,359827.4496365524,341187.4554559831,347156.65632458235,373140.4590049054,359205.55102040817,359002.0608219178,338654.3500417711,335635.8787446505,383485.73627002287,358050.8842169409,366481.8976464149,384971.07887161773,349299.9158823529,351588.23784722225,363134.942979767,367817.7166890983,362778.822537112,362241.54790096876,359934.66347826086,375540.28029739775,359144.3455261677,357797.2993589744,377684.9681762546,372252.1842560554,361667.4358515869,377977.69975308643,374371.20516717323,369019.78384162654,389249.35680473375,410843.2605250124,365173.73559322034,374706.30274656677,409496.90738963534,390567.8223495702,429037.11010830326,431127.01784651994,411021.1825284091,418849.1140418929,413234.40763888886,440788.1272430669,455834.451333814,463974.80194429273,461784.11208406306,484841.82709891937,499370.97220543807,505794.9698340875,505155.18543543544,535612.7631041525,515216.1788478074,500907.1939345571,520660.4296,508185.43163538876,500269.1458523245,511552.8382706165,507020.2729528536,510334.29190751445,504350.4588235294,527217.427852349,531898.0549530007,512080.5496124031,509340.24760076776,536882.3860294118,530219.215648855,551137.4346959123,528116.2667353244,535929.9055555556,507987.24869109946,518011.0211193242
