RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
102001,0,United States,country,,1226.9429947327467,1232.4815358567978,1238.284122624129,1243.303326851751,1247.6702837082833,1251.8447977459925,1257.0922259990643,1262.6636121906938,1268.1528204847718,1273.9114013170038,1279.1345454592615,1284.129029991376,1287.4421427981854,1290.591144144527,1292.5341215204398,1297.4733764956943,1301.918153557676,1307.218569166595,1309.8127144074879,1313.2136398926825,1316.3918624675248,1319.0594498992043,1321.515288876127,1323.6029678579303,1329.8785812660922,1335.8496013548609,1343.5147330086006,1347.096858972583,1351.532096397906,1355.167177112004,1359.5766438673077,1363.346488963938,1368.2688402183117,1372.7896068550995,1377.9443953285063,1383.0916006368982,1387.7365258227148,1392.7939195322463,1397.111134914784,1402.0796135201472,1406.0854798208775,1410.5563667669908,1415.4781588992814,1420.708028987015,1425.182054236705,1430.4628986618873,1436.2772713749378,1442.226911518214,1446.6005585407129,1450.4035592432724,1454.5141213553,1459.6137415572666,1465.2255739843756,1470.7384611721063,1476.0820374626664,1481.345961364069,1486.684989459777,1491.711492029817,1496.0938327005913,1500.510449578266,1505.6344966595718,1511.1312437313388,1516.4080889746392,1513.497964241149,1508.3138696921435,1503.9341788974418,1504.2264100651878,1504.4476881830853,1505.511557622008,1509.70094831586,1517.0646162809492,1524.8383759477301,1533.299633968562,1541.7564809406488,1553.9560222632851,1570.8054420856206,1592.4906483827997,1617.3408521787044,1643.1396950177111,1670.746672077051,1697.7344053886784,1720.7177316502882,1740.4028090595023,1758.3389867001788,1774.1773537062486,1790.2518682638172,1803.7336987441497,1819.3980378041595,1833.7905847428945,1848.5905718406661,1859.9695542376937,1868.368521827373,1874.677483546562,1880.1285826059848,1885.4991567341838,1892.0057701781714,1898.5260408607544,1904.9560735130005,1912.0827906578547,1916.9251061891962,1920.529934731683,1921.9001706110291,1924.3926403933908,1928.2354115801274,1933.8006385581632,1941.3250398464986,1949.716241893345,1957.7618410475052,1966.3841906932987,1974.6507038602983,1982.6770253965442
394913,1,"New York, NY",msa,NY,2277.209738097299,2292.698148284918,2304.8025421952357,2316.117181464366,2319.5146249875243,2324.3009731109005,2329.4925886129217,2337.977069835538,2345.4144084391014,2352.429731234272,2358.22989547262,2364.222030308578,2368.5163841603508,2370.928775344474,2370.886945107711,2373.215265450466,2377.665994648453,2383.008269393814,2387.715988843858,2390.9056414502243,2393.9211336137087,2398.2965435530655,2404.0911490877065,2404.291475496237,2408.466579866778,2408.654925069747,2415.38391135317,2415.5028290037967,2420.50395113683,2422.670647228611,2426.0487975201295,2426.826476631674,2430.3834233301236,2430.2837581773797,2431.6425093344074,2434.236884999422,2438.2820450756694,2443.6195424523166,2447.6234904984058,2455.861299918901,2460.0106083862593,2464.02147229728,2468.55761030691,2476.2567271041735,2483.2023186173346,2487.3921967970887,2494.12973006788,2500.090172932616,2506.839450292606,2512.2558990093125,2517.4860917922274,2522.4867868714987,2528.378477556672,2535.840089494003,2542.786239984811,2549.0693888913283,2554.9815371321656,2564.8230464061494,2572.0925758383687,2580.84190131067,2587.891937761119,2596.6141797297896,,,,,,,,2362.0707895412293,2351.1498197525634,2350.142357247807,2351.449017894508,2355.6828891120304,2367.9633972039287,2386.7942294783743,2416.5080622111573,2454.7894242534867,2503.227032718528,2561.7636247751793,2622.4245879688897,2675.024961752296,2722.9633685177837,2762.1406215061834,2796.3092621547507,2826.109398137842,2853.3264167358457,2880.104855877401,2909.326805990392,2940.5314790472544,2969.7646513083905,2993.0116066826513,3006.9373072290136,3015.496850833784,3019.1566682240277,3026.78895194814,3035.5778386491934,3047.5325454941926,3059.77120015449,3073.059886950205,3081.242030230119,3085.0106582587696,3085.2213858439873,3087.4571633179794,3096.303330992085,3110.927025611094,3129.4677413824625,3147.730227166027,3167.5863573726974,3186.7358762131826,3205.572268578418
753899,2,"Los Angeles, CA",msa,CA,1842.7639819062963,1852.9911518898775,1862.9656095667156,1872.217357214113,1879.5976619760422,1887.4791660062708,1898.68869261322,1910.3169784483673,1923.363488631619,1935.3283820073436,1948.305539380716,1961.3044498588386,1969.6379867825233,1977.2452442838594,1982.139207979274,1990.313640006619,1999.3524445889398,2009.6952689684956,2017.3324199456515,2023.7533631596564,2031.1966556002574,2036.8135194255738,2042.7241724806904,2047.678661474966,2065.0826685767215,2080.9650263464373,2100.3852146646336,2110.1352232785825,2119.7604452681585,2126.957960846735,2134.8419424125163,2142.370608572908,2150.762995077119,2158.633940195293,2168.2801832766427,2177.8676915447722,2186.0652580969977,2195.0546304789295,2200.105663920013,2207.9591676241334,2213.557365029019,2222.8861944993996,2231.667654498426,2241.879161729455,2250.2420370394993,2260.218245411317,2269.7124678512687,2278.8144699258105,2282.544576456781,2286.707170170856,2292.648688654142,2300.5141338639764,2309.895152380646,2317.088957462007,2324.5628784046717,2331.0846502341883,2338.0043130525582,2344.0832968448617,2349.3051268037943,2354.895944523061,2362.6310541926737,2369.8361623141113,2366.8067715636694,2356.6138474417057,2346.1107077176534,2336.1110936882774,2330.766526859726,2324.7413708225204,2324.2534821068557,2329.0146977741665,2338.1643301524045,2344.005415074083,2350.603809452693,2357.982399501305,2370.2510023265454,2384.5079272924504,2404.6971738916413,2436.389691345543,2475.0255101478087,2521.1500564374205,2560.166443801886,2594.210405144842,2619.773339077298,2648.8026835391265,2673.1709755724137,2699.49253564666,2721.784904824222,2747.4965751034733,2772.756776302323,2790.7959075940344,2801.611620398338,2807.120923645085,2813.7851774991677,2817.7865140000977,2824.5630882700407,2831.3475418606185,2835.483210308878,2841.5536385579917,2848.0919901333,2854.2019744661525,2857.2264335124005,2859.395424831175,2862.2818823289476,2865.4237494387808,2870.218238315496,2878.370463302777,2887.5155240313206,2895.2993409107025,2906.854848324291,2915.488149783979,2924.553381752241
394463,3,"Chicago, IL",msa,IL,1440.3984729374326,1441.6337466102889,1446.3788663462044,1450.834762848101,1455.2877832585257,1456.9180107407587,1459.994893040931,1463.7358152810716,1467.522267954936,1473.159958094601,1479.6046535842645,1486.185312737795,1489.5346566739172,1490.6359232893901,1491.9396909429954,1493.8014568861404,1496.9822327220004,1501.482490445902,1506.9366938666442,1513.6619084681952,1516.4818648072612,1516.528505718497,1512.1101377747618,1507.7013078705916,1511.8730673635828,1520.1553252706904,1531.1537253629738,1535.271003769953,1539.3146159589232,1540.4291986140352,1541.5394465758927,1540.6009545217087,1544.4734816116677,1547.476590942628,1552.8558406813077,1557.5636813314138,1560.4132518224171,1563.6921515385409,1564.238509372422,1567.338975349058,1569.6425425472246,1574.2777794141732,1578.2066202077872,1580.353262122223,1580.616258456528,1582.6840249823092,1587.9375589030305,1595.8034133314527,1599.6705021006742,1601.8514874956916,1604.1824822337767,1607.86315252324,1612.0293399864336,1615.6732461440251,1619.749886741355,1625.972766550484,1632.1212815517513,1637.8364050292462,1640.8470877748875,1642.2180777219942,1646.0214516326575,1650.2394192769073,1655.5117138813855,1646.4374516671699,1636.406157448155,1628.1514690951533,1624.7096572949756,1621.9434157826397,1617.1020103719338,1611.5073354812946,1608.8035305123142,1607.7356753857073,1605.650159439354,1607.3399129249774,1615.2426695406969,1633.2761206467485,1651.129291742919,1668.377106586198,1683.6463841565705,1699.208146298225,1715.6571444538365,1730.5179370636665,1745.404304963615,1760.3868948273705,1774.7969717921198,1788.0826534980342,1799.8205184072272,1812.0091918832313,1823.5109873468182,1833.9693300315928,1846.7851967554227,1856.6135296014384,1869.0453874207228,1881.9610967992044,1893.0346524805416,1901.6819983630055,1909.0218046885602,1918.1989188528974,1927.8301497154155,1933.5530093827422,1940.65371476879,1949.091291335134,1956.1270752688833,1965.5311018596412,1973.1192171624093,1981.6146814737076,1991.2269893803168,2002.6277654176463,2015.6656270214728,2027.2144962774366,2038.100922085903
394514,4,"Dallas, TX",msa,TX,1103.2855013566052,1107.5959994775642,1111.706535892633,1117.9434625665433,1122.8064573505474,1128.1723283113463,1133.1560731674933,1137.755910304179,1142.9938467413133,1148.0684097479752,1154.5826919944675,1160.5228288826254,1163.263722042232,1167.0325453604353,1171.043546388888,1177.3451969997568,1180.8239241083352,1184.3723327929372,1187.1236669414798,1191.3189137698544,1195.0792208671464,1198.7999673856852,1202.6394791048824,1206.445841038857,1214.9270238157733,1220.5901894429244,1228.4112657493565,1231.728672977622,1239.5205394899479,1243.1127902943174,1247.6899531267948,1251.2451953016096,1255.802482333266,1258.6444501930844,1263.9295335005413,1268.264371018138,1273.2679674859721,1277.6544128881626,1279.2289758335808,1282.1463763768738,1282.8545015105972,1288.1641677022285,1292.161056930686,1296.1490904356413,1298.6450936350873,1304.5441499854333,1309.1440921227247,1315.3762775073355,1318.1481207568352,1320.881807067699,1325.5173126865416,1330.6755209560588,1335.8423809486321,1339.3562771728941,1343.4382395893285,1347.5595478752316,1352.243375482553,1354.984742207933,1357.311050727449,1358.7320142111982,1361.4586757416014,1364.9299165191846,1372.7091668827052,1370.6144152808583,1365.2147035293733,1360.400994210617,1360.0359440571272,1362.8877917362613,1368.2024739151489,1376.6058380801041,1386.1519437280208,1396.592110434664,1403.489157162676,1410.3004716355003,1418.79915212476,1435.704268450856,1458.2590059369238,1483.391811527832,1510.464402448479,1538.6022354765353,1565.7327159409008,1587.5698192006435,1607.465426717779,1625.821742285461,1643.287593347942,1658.3566315996636,1669.7009615466245,1685.506636809373,1700.8848659452249,1718.9957059214278,1729.3419247692113,1733.3786188463341,1733.4625125888062,1731.608495132877,1731.2630448726427,1732.9235995748109,1737.7049073570029,1743.849821789986,1750.4370135270487,1750.200487949166,1747.4902523131152,1740.8798308425296,1737.835794768988,1737.8826143235099,1740.4413926296975,1746.0328919024457,1750.6130861118202,1753.5514320510338,1754.4789408467732,1754.7303393728334,1755.441551907007
394692,5,"Houston, TX",msa,TX,1238.164610895524,1240.2724968294237,1243.5956184532663,1246.6682096135712,1248.645673240089,1251.9229072922378,1255.044727190693,1258.7142850033604,1259.5052008497385,1261.8192312771343,1264.515520067914,1266.8975451009244,1267.4077107812557,1265.4447914293833,1265.7484580645564,1264.7033255831266,1262.768038555905,1259.9228767230088,1259.1667975545195,1259.0284013167472,1255.9419190828798,1249.894056809378,1243.3428695456755,1240.3585738190345,1247.9372541794821,1257.8475797140256,1268.1877829097762,1268.1193740662868,1272.0545222370342,1271.9707407415185,1274.5634745652876,1274.350075107353,1285.9112141861958,1297.6886817452862,1310.7778658792727,1318.6963404499402,1320.1650680277246,1322.765705433735,1319.6368217726954,1324.3189276389392,1323.0153858134643,1326.7429969551101,1327.818801887858,1331.614556185743,1331.6361449379701,1333.033721820813,1335.4863388059653,1336.3274049671104,1338.273923932032,1335.8589676575796,1339.3999794684585,1342.4340082858573,1348.2714446424307,1352.3466645691346,1356.6955271722527,1360.204113193494,1361.494008217848,1362.3546996133189,1362.07869174503,1365.0728394124114,1368.4149750773336,1374.2877381767369,1382.1685951870934,1378.2967275520457,1368.5709758905082,1358.886933438303,1358.7740250520003,1361.7477880798979,1366.212107537904,1371.8099464580428,1378.342578800758,1383.071949209486,1385.6716985952169,1384.3986182723463,1389.4516040471333,1400.6643018315535,1420.4037548805609,1442.580969668965,1463.2485543381683,1483.6296339625806,1500.7454960730438,1514.0415524948182,1524.6132654481803,1533.847521094754,1543.6175020912597,1553.9634796882076,1562.029314194851,1572.3422804864415,1579.4964066730038,1587.9448196005135,1592.658334167895,1597.2544570232646,1599.3508443585445,1602.7718114844758,1606.0587076504391,1610.0069363278508,1616.0747331890232,1623.426685261162,1631.5774847386374,1634.6711888993577,1636.589664271519,1636.2260040391893,1637.434749583984,1638.2106593808892,1642.104935851874,1646.437171228153,1651.7264677750206,1657.0563846999983,1660.5079402155097,1662.91142448967,1664.1450377178244
395209,6,"Washington, DC",msa,VA,1695.8860349685751,1699.4514234230967,1704.5714905217344,1706.123537898916,1708.636979304374,1709.1740977052368,1710.713017149317,1711.5964544002045,1715.8549356166097,1721.9841519473468,1728.4300395553144,1732.45141820145,1732.6990408404413,1732.810373350318,1731.811311602444,1733.746555117812,1737.472145275625,1740.6278685619463,1742.768013367419,1745.6584966716791,1747.4652096648363,1747.4187556236232,1748.002227867707,1749.5640217550683,1755.8595346693296,1763.846358259653,1771.5997388699363,1775.7931502696586,1775.6045335531676,1777.799748136741,1780.104913410942,1782.5930175290198,1786.5402356253478,1790.7572980039472,1792.7976911483547,1794.5657813128817,1796.4832261497254,1799.0552575935667,1803.5607193878866,1808.161959898305,1813.6737813443135,1817.738252281028,1822.3193227508216,1828.2286142825596,1830.2899081508488,1836.061405477987,1844.5607818342926,1852.404654406428,1854.9467784848837,1857.7473505165617,1860.2409984694539,1864.0459223676435,1869.0412389129897,1874.2865631487255,1879.344178267162,1883.2121474508192,1889.535088054666,1893.216125767835,1895.7831118773875,1898.9291876864424,1905.341797028634,1910.9958546927223,1920.0882249074177,1912.7432981866732,1902.9123551623572,1888.5119050907558,1879.846609551508,1873.620237056443,1867.6694447466944,1863.8838365064441,1860.256436635943,1856.0910105273977,1856.1140219096314,1858.9758767917974,1863.972454185094,1874.685297121749,1892.824937319751,1919.9981388690028,1946.331884094603,1972.621005499172,1996.1835113107466,2018.378853907155,2035.3377339454094,2050.477433395273,2059.7757772404448,2070.5780123393,2081.821462866499,2096.4291418909315,2109.1355106783585,2120.511898089913,2131.4736545516253,2137.521539483862,2142.5793112902466,2142.098619587422,2145.1580644394494,2150.628997355926,2159.1657706029246,2167.7559918205693,2176.5651570605196,2181.669387675384,2185.5122596837423,2187.2844076241836,2189.544802737377,2195.9936776211753,2205.3079112878054,2219.9797172919793,2235.3128220025797,2250.396625847303,2265.6782546222757,2280.33954439713,2295.0717862194447
394974,7,"Philadelphia, PA",msa,PA,1239.3805395763543,1242.3397376730084,1248.6848671296311,1250.9761896183832,1254.0225760512126,1254.0315455196348,1257.9054866396154,1260.688033423311,1264.943223435569,1269.068768657133,1269.4404753770787,1269.3028415631784,1267.9914901355748,1274.0752315018392,1277.457634804693,1283.5729362040256,1286.7905107649653,1292.73297196908,1294.8298893062095,1297.4553262782563,1297.95815431191,1298.3250159871573,1303.8917149972924,1307.504514061414,1313.8395595742704,1313.8113676357839,1317.9080382566126,1319.3705462112255,1321.8796536011175,1321.7984997289134,1324.704575412805,1328.8072614447697,1334.185784526918,1337.8219248026176,1339.9190973384132,1345.7125335867706,1348.7972773617023,1353.01091822447,1354.8948025977606,1358.8435469107517,1363.9284737282971,1367.1320425108493,1370.2375280777092,1373.1676114453735,1377.974331909899,1383.8736649317639,1389.5682849497432,1391.3814838078922,1395.7886986171025,1399.5191843690886,1404.612344242624,1409.0462306365935,1412.7741878903776,1418.8629245693114,1424.320279622883,1429.3274518552817,1432.731315107172,1436.2705266559358,1439.8958709480296,1445.2288326044193,1449.5269913592228,1454.9972286102015,1459.9412646764904,1459.322992688723,1456.0716764903912,1454.0382187712933,1457.3553280452788,1458.7648019146538,1462.5044851928776,1467.8523167495323,1475.406098814657,1480.1229053167622,1483.027003696208,1486.7371311332713,1493.339764738661,1506.9080909959914,1523.455573690401,1540.9369945187782,1555.9927388100543,1573.527365006104,1588.8544515733447,1603.676623972189,1616.3158456782571,1633.8339135218584,1648.379590746213,1661.1443710548021,1667.9108456783565,1677.0900530154481,1685.0314624943364,1696.2252223265948,1704.5227374802619,1709.5566890367459,1712.2380203562755,1712.4115178325317,1716.45890962436,1720.321889960883,1728.0923086537837,1731.0530075754612,1738.0243863494986,1742.3726545957104,1746.7907903264422,1747.9510684421557,1751.5965366703049,1756.9756029446098,1764.9683409511977,1774.8704254245915,1782.5123095161457,1788.4161879674448,1793.3683005484725,1802.8093112048914,1811.753287977249
394856,8,"Miami, FL",msa,FL,1506.1771559992042,1516.0605027418312,1523.4817569504066,1530.8152970735903,1537.9211740978533,1545.7306733917821,1552.8954670945623,1559.488870654665,1567.5484344117856,1574.745965044787,1583.1616475528929,1589.6667096165693,1595.8143777072314,1598.92378346366,1601.9519500138063,1605.0717869411455,1606.2276686637044,1605.9875561806198,1604.9131464376342,1606.8338134990927,1609.5143574446565,1610.4305322208288,1612.8087591487235,1613.5495438115663,1619.5879903367675,1623.8227862623903,1631.9190506289483,1634.6622579087398,1637.7947437509538,1641.3852137475947,1647.0950123127877,1652.5327022454906,1656.3869534298865,1660.3637316083493,1661.5916941726866,1664.6121728676546,1667.7145405919082,1673.252907824208,1678.2024891677097,1683.5530223637766,1688.5033691733572,1693.6747907680726,1698.9195930093722,1704.0421083618578,1708.0329506161243,1711.9439566990686,1716.5971761791893,1722.1016350169418,1725.3661647458362,1728.09532834962,1729.6572583837267,1733.7499477693389,1738.5787982508111,1743.4494919746912,1747.5937293582926,1751.535738395658,1757.1177797105306,1763.265151550882,1770.0673556316226,1775.9570240999064,1782.74552369099,1789.530431698297,1791.9167910968647,1788.9446848459916,1781.7852662049838,1778.6690672312693,1778.9042127995876,1781.242831514248,1785.904559076564,1799.1439483548922,1816.6547329407774,1833.4580043993565,1852.9371930473517,1879.0595491506497,1908.0807165563576,1942.372501408781,1985.1296166527695,,2103.0774552432454,2168.6715175903564,2227.675634420491,2275.655886081381,2320.9519369411637,2371.6400888671446,2423.336851525468,2463.4192543284485,2506.5174504993142,2545.1065953466637,2581.5910941221014,2600.804827411263,2615.021716001235,2621.3499340839994,2629.5252781906147,2636.380732377296,2645.926705721769,2656.663254519384,2661.7887101505376,2667.5729530663266,2671.1440871880945,2675.9898817131016,2677.616796261586,2683.152945490918,2686.7897168110494,2693.618626154784,2701.542839618597,2713.3684789941403,2722.2619767389324,2726.306455991759,2732.317350517236,2741.0218279317514,2748.1186255268763
394347,9,"Atlanta, GA",msa,GA,1058.2949239230352,1063.3789887808966,1065.817940719543,1072.519223655564,1076.3231434408492,1083.525183918182,1088.3403732000374,1093.8176187138802,1099.3170832122664,1104.0800521565,1108.721248273805,1113.9833274003447,1119.828792834599,1125.4803945989734,1131.0737126048257,1135.074791371152,1139.7438485914981,1143.8049447393214,1149.448152199716,1155.276643243995,1160.9544136405877,1165.9848514709176,1170.197966070257,1174.7453371356303,1180.9040407532686,1188.3895963380587,1196.5535867948506,1203.3408403320834,1210.5788670441002,1217.4615510252725,1225.4094545295006,1231.6678220501851,1237.9555092101377,1241.35934496214,1247.0163842515205,1252.6129829761603,1260.1470801775151,1266.3414529329373,1272.2598265966296,1279.0309190065273,1286.2427095012183,1292.457412019061,1298.0069648797396,1302.763193575427,1308.076057026934,1318.8185625349565,1329.1930511417813,1337.9901565740938,1343.5310568103698,1348.7832290356048,1354.8175835537447,1361.0439953113525,1366.6007020678755,1373.1041290996968,1379.2245410311118,1386.6668483662233,1393.5138875324567,1397.516710245591,1400.6300744987627,1404.7578602650972,1409.8432912091262,1415.3667940078726,1422.7551665386566,1424.5723212864161,1424.9002480595357,1425.9588239693776,1433.623902047937,1441.9625176357345,1453.199315180434,1465.5535590743073,1481.005397922751,1496.2802928782523,1512.9953934343425,1530.5614974116354,1548.8223562270011,1570.486757378254,1596.3009325136688,1630.664395282969,1664.2766240642843,1702.238942798403,1731.3668722864863,1758.9926386220538,1777.4944824880229,1793.3204106882754,1804.0117848780017,1812.65785461916,1824.0498903532794,1834.8429254262708,1849.2146012055102,1863.919509241267,1877.7172465732958,1882.6614540678302,1886.154494018095,1887.0680479365992,1892.2456361838163,1897.9894080508707,1901.2923218809992,1905.01190304326,1910.5764146595218,1914.8261597091332,1913.7115413913077,1906.9852918053955,1899.5561355811205,1896.0721700740921,1897.2172350972276,1900.3392294392306,1903.3594352477369,1906.3474566695006,1912.2506150402871,1917.5868847345532,1919.1852151724595
