,DATE,Region,w_PCPI
1021,2015-11-01,West,
1022,2015-12-01,West,
1023,2016-01-01,West,
1024,2016-02-01,West,
1025,2016-03-01,West,
1026,2016-04-01,West,
1027,2016-05-01,West,
1028,2016-06-01,West,
1029,2016-07-01,West,
1030,2016-08-01,West,
1031,2016-09-01,West,
1032,2016-10-01,West,
1033,2016-11-01,West,
1034,2016-12-01,West,
1035,2017-01-01,West,
1036,2017-02-01,West,
1037,2017-03-01,West,
1038,2017-04-01,West,
1039,2017-05-01,West,
1040,2017-06-01,West,
1041,2017-07-01,West,
1042,2017-08-01,West,
1043,2017-09-01,West,
1044,2017-10-01,West,
1045,2017-11-01,West,
1046,2017-12-01,West,
1047,2018-01-01,West,
1048,2018-02-01,West,
1049,2018-03-01,West,
1050,2018-04-01,West,
1051,2018-05-01,West,
1052,2018-06-01,West,
1053,2018-07-01,West,
1054,2018-08-01,West,
1055,2018-09-01,West,
1056,2018-10-01,West,
1057,2018-11-01,West,
1058,2018-12-01,West,
1059,2019-01-01,West,
1060,2019-02-01,West,
1061,2019-03-01,West,
1062,2019-04-01,West,
1063,2019-05-01,West,
1064,2019-06-01,West,
1065,2019-07-01,West,
1066,2019-08-01,West,
1067,2019-09-01,West,
1068,2019-10-01,West,
1069,2019-11-01,West,
1070,2019-12-01,West,
1071,2020-01-01,West,
1072,2020-02-01,West,
1073,2020-03-01,West,
1074,2020-04-01,West,
1075,2020-05-01,West,
1076,2020-06-01,West,
1077,2020-07-01,West,
1078,2020-08-01,West,
1079,2020-09-01,West,
1080,2020-10-01,West,
1081,2020-11-01,West,
1082,2020-12-01,West,
1083,2021-01-01,West,
1084,2021-02-01,West,
1085,2021-03-01,West,
1086,2021-04-01,West,
1087,2021-05-01,West,
1088,2021-06-01,West,
1089,2021-07-01,West,
1090,2021-08-01,West,
1091,2021-09-01,West,
1092,2021-10-01,West,
1093,2021-11-01,West,
1094,2021-12-01,West,
1095,2022-01-01,West,
1096,2022-02-01,West,
1097,2022-03-01,West,
1098,2022-04-01,West,
1099,2022-05-01,West,
1100,2022-06-01,West,
1101,2022-07-01,West,
1102,2022-08-01,West,
1103,2022-09-01,West,
1104,2022-10-01,West,
1105,2022-11-01,West,
1106,2022-12-01,West,
1107,2023-01-01,West,
